dose,b,m
2,1.5364563895781664,0.10766408188585604
2.5,1.5449828744546772,0.09207673533688802
3,1.5933790073105054,0.07908332243170448
3.5,1.6265346536477536,0.06925241801768606
4,1.6524422943489352,0.06157306298666248
4.5,1.6860500864878685,0.05487228746745318
5,1.6863387903003602,0.050250383025626864
5.5,1.7365814066946748,0.04501165469575822
6,1.7726327490603266,0.041009515834914925
6.5,1.8015237784733764,0.03757280511554929
7,1.8211957481663905,0.03482582177846778
7.5,1.832847390406139,0.03252207655111353
8,1.8554892433069337,0.030350072330955005
8.5,1.854158882100919,0.02879031359092353
9,1.8475842207496902,0.027435227461098038
9.5,1.8487335364839252,0.02617682095020917
10,1.8457607073354654,0.025091799217263278
10.5,1.8332599460298702,0.02417992717728817
11,1.8294290664236366,0.023282507498871844
11.5,1.8269957305010205,0.022441974150339484
12,1.8179341711966974,0.021736851300600973
12.5,1.8050846603754989,0.021109605491660955
13,1.7948773491482162,0.02050077298114603
13.5,1.7980595781493607,0.019742619782592456
14,1.80852671475358,0.018964665075713615
14.5,1.809383657713643,0.018362846381618666
15,1.8000468374086636,0.01781518381842674
15.5,1.8254594171825638,0.017006424975945407
16,1.8315208509468273,0.016349814590706058
16.5,1.845791978248574,0.015639298031830798
17,1.868196950372161,0.01489769475404999
17.5,1.8806767371855533,0.01427279916091168
