dose,b,m
2,1.7178021525441511,0.03513934693603404
2.5,1.7795263179336698,0.027374847564066027
3,1.8951304580399952,0.021238827762135818
3.5,1.9175300314562223,0.017985424594587286
4,1.9061735914423812,0.01598920576624742
4.5,1.894597431935662,0.01447701239852957
5,1.8929840174484358,0.01318841003555446
5.5,1.8990746187018097,0.012084352532312423
6,1.8913122945223244,0.011226704535633408
6.5,1.9043655406283813,0.010330208462669981
7,1.9098753127566683,0.009635011671637921
7.5,1.9299843071063967,0.008845051371818645
8,1.9469660056753264,0.008174891070036232
8.5,1.9556148314180797,0.007623441901059235
9,1.9647790191432009,0.007135740172846399
9.5,1.9784315770654979,0.006646546158970231
10,1.985350029889833,0.006251360699137474
10.5,1.9912739883268484,0.005903595979247733
11,2.0024759760235966,0.005558595509181435
11.5,1.9949225665859567,0.005381977401129945
12,1.9849879234399572,0.005258224960671218
12.5,1.9873227139228435,0.00506059096682014
13,1.9738825395514077,0.005001315626419917
13.5,1.960560639136501,0.004942086592686907
14,1.9556904272988087,0.004839540238562575
14.5,1.9492763440860201,0.004754480286738356
15,1.9225536267318677,0.004849225753871222
15.5,1.9093091559370508,0.004864091559370546
16,1.9014560344827567,0.004795258620689666
16.5,1.8620199226305623,0.005019342359767885
17,2.002292386530013,0.00391654465592973
17.5,1.9565319218241,0.004193811074918596
